,NanPing_W2E,NanPing_E2W,FuLong_S2N,FuLong_N2S,LiuXian_W2E,LiuXian_E2W,YuLong_S2N,YuLong_N2S,XinQu_S2N,XinQu_N2S,ZhiYuan_S2N,ZhiYuan_N2S
1576618200,3,3,17,17,0,0,15,15,0,0,5,5
1576620000,20,20,3,3,4,4,112,112,8,8,5,5
1576621800,7,7,0,0,0,0,137,137,0,0,0,0
1576623600,27,27,3,3,14,14,66,66,0,0,5,5
1576625400,3,3,7,7,9,9,163,163,18,18,0,0
1576627200,4,4,9,9,4,4,47,47,5,5,5,5
1576629000,6,6,5,5,14,14,32,32,5,5,6,6
1576630800,18,18,8,8,9,9,27,27,27,27,0,0
1576632600,17,17,19,19,9,9,13,13,31,31,0,0
1576634400,27,27,10,10,20,20,9,9,0,0,74,74
1576636200,16,16,13,13,5,5,110,110,49,49,14,14
1576638000,21,21,5,5,5,5,52,52,0,0,0,0
1576639800,22,22,7,7,3,3,32,32,0,0,0,0
1576641600,39,39,15,15,4,4,35,35,0,0,39,39
1576643400,3,3,0,0,0,0,50,50,0,0,0,0
1576645200,6,6,5,5,5,5,32,32,0,0,0,0
1576647000,7,7,22,22,0,0,83,83,0,0,0,0
1576648800,80,80,69,69,29,29,152,152,0,0,49,49
1576650600,6,6,4,4,4,4,9,9,6,6,27,27
1576652400,0,0,3,3,0,0,55,55,19,19,0,0
1576654200,19,19,7,7,0,0,50,50,0,0,48,48
1576656000,7,7,7,7,0,0,50,50,0,0,54,54
1576657800,0,0,9,9,4,4,114,114,0,0,13,13
1576659600,15,15,3,3,0,0,4,4,0,0,0,0
1576661400,7,7,43,43,24,24,81,81,4,4,25,25
1576663200,27,27,23,23,0,0,4,4,0,0,0,0
1576665000,17,17,9,9,0,0,0,0,0,0,0,0
1576666800,20,20,9,9,16,16,53,53,0,0,94,94
1576668600,2,2,19,19,8,8,41,41,9,9,35,35
1576670400,31,31,7,7,6,6,10,10,0,0,48,48
1576672200,0,0,10,10,10,10,12,12,70,70,0,0
1576674000,12,12,23,23,13,13,41,41,5,5,9,9
1576675800,41,41,7,7,5,5,12,12,33,33,12,12
1576677600,25,25,15,15,15,15,29,29,7,7,15,15
1576679400,34,34,21,21,6,6,44,44,9,9,0,0
1576681200,4,4,6,6,12,12,9,9,5,5,7,7
1576683000,9,9,10,10,4,4,0,0,0,0,0,0
1576855800,0,0,3,3,5,5,0,0,0,0,0,0
